date,weekday,timeofday,neighborhood,bus,avg_arrival_rate,scheduled_arrival,difference_arrival_rate
4/3/2016,No,Afternoon,downtown,61A,28,20,8
4/3/2016,No,Afternoon,downtown,61B,33,20,13
4/3/2016,No,Afternoon,downtown,61C,26,20,6
4/3/2016,No,Afternoon,downtown,61D,27,20,7
4/3/2016,No,Afternoon,downtown,48,48,30.1,17.9
4/3/2016,No,Afternoon,downtown,51,30,15,15
4/3/2016,No,Evening,downtown,51,31,15,16
4/3/2016,No,Evening,downtown,48,38,30,8
4/3/2016,No,Night,downtown,82,30,28.57,1.43
4/3/2016,No,Night,downtown,28X,27,30,-3
4/3/2016,No,Night,downtown,G2,49,45,4
4/1/2016,Yes,Afternoon,downtown,65,33,29,4
4/1/2016,Yes,Afternoon,downtown,67,45,40.13,4.87
4/1/2016,Yes,Afternoon,downtown,69,59,67,-8
4/1/2016,Yes,Evening,downtown,56,29,30.83,-1.83
4/1/2016,Yes,Evening,downtown,57,44,36.6,7.4
4/1/2016,Yes,Evening,downtown,58,38,40,-2
4/1/2016,Yes,Afternoon,downtown,52L,38,30,8
4/1/2016,Yes,Afternoon,downtown,53L,29,39.4,-10.4
4/1/2016,Yes,Afternoon,downtown,56,39,30.83,8.17
4/1/2016,Yes,Evening,downtown,57,47,36.6,10.4
4/1/2016,Yes,Evening,downtown,58,29,40,-11
4/6/2016,Yes,Afternoon,downtown,40,33,27.25,5.75
4/6/2016,Yes,Afternoon,downtown,44,34,32,2
4/6/2016,Yes,Afternoon,downtown,87,22.5,28,-5.5
4/4/2016,Yes,Night,east_liberty,71A,23.5,26.67,-3.17
4/4/2016,Yes,Night,east_liberty,71B,23,18.6,4.4
4/4/2016,Yes,Night,east_liberty,71C,30,28.29,1.71
4/4/2016,Yes,Night,east_liberty,88,27,28.83,-1.83
4/8/2016,Yes,Night,east_liberty,71A,22,26.62,-4.62
4/8/2016,Yes,Night,east_liberty,74,49,47.2,1.8
4/9/2016,No,Afternoon,east_liberty,71B,34,30,4
4/5/2016,Yes,Afternoon,oakland,P3,31,25.25,5.75
4/5/2016,Yes,Afternoon,oakland,71B,15,14.7,0.3
4/5/2016,Yes,Afternoon,oakland,71A,17,15,2
